source,target,distance,link_type
N0874,N0875,0.0012,ring
N0875,N0876,0.0049,ring
N0876,N0877,0.0086,ring
N0877,N0878,0.0123,ring
N0878,N0879,0.0020,ring
N0879,N0880,0.0057,ring
N0880,N0881,0.0094,ring
N0881,N0882,0.0131,ring
N0882,N0883,0.0028,ring
N0883,N0884,0.0065,ring
N0884,N0885,0.0102,ring
N0885,N0886,0.0139,ring
N0886,N0887,0.0036,ring
N0887,N0888,0.0073,ring
N0888,N0889,0.0110,ring
N0889,N0890,0.0007,ring
N0890,N0891,0.0044,ring
N0891,N0892,0.0081,ring
N0892,N0893,0.0118,ring
N0893,N0894,0.0015,ring
N0894,N0895,0.0052,ring
N0895,N0896,0.0089,ring
N0896,N0897,0.0126,ring
N0897,N0898,0.0023,ring
N0898,N0899,0.0060,ring
N0899,N0900,0.0097,ring
N0900,N0901,0.0134,ring
N0901,N0902,0.0031,ring
N0902,N0903,0.0068,ring
N0903,N0904,0.0105,ring
N0904,N0905,0.0002,ring
N0905,N0906,0.0039,ring
N0906,N0907,0.0076,ring
N0907,N0908,0.0113,ring
N0908,N0909,0.0010,ring
N0909,N0910,0.0047,ring
N0910,N0911,0.0084,ring
N0911,N0912,0.0121,ring
N0912,N0913,0.0018,ring
N0913,N0914,0.0055,ring
N0914,N0915,0.0092,ring
N0915,N0916,0.0129,ring
N0916,N0917,0.0026,ring
N0917,N0918,0.0063,ring
N0918,N0919,0.0100,ring
N0919,N0920,0.0137,ring
N0920,N0921,0.0034,ring
N0921,N0922,0.0071,ring
N0922,N0923,0.0108,ring
N0923,N0924,0.0005,ring
N0924,N0925,0.0042,ring
N0925,N0926,0.0079,ring
N0926,N0927,0.0116,ring
N0927,N0928,0.0013,ring
N0928,N0929,0.0050,ring
N0929,N0930,0.0087,ring
N0930,N0931,0.0124,ring
N0931,N0932,0.0021,ring
N0932,N0933,0.0058,ring
N0933,N0934,0.0095,ring
N0934,N0935,0.0132,ring
N0935,N0936,0.0029,ring
N0936,N0937,0.0066,ring
N0937,N0938,0.0103,ring
N0938,N0939,0.0140,ring
N0939,N0940,0.0037,ring
N0940,N0941,0.0074,ring
N0941,N0942,0.0111,ring
N0942,N0943,0.0008,ring
N0943,N0944,0.0045,ring
N0944,N0945,0.0082,ring
N0945,N0946,0.0119,ring
N0946,N0947,0.0016,ring
N0947,N0948,0.0053,ring
N0948,N0949,0.0090,ring
N0949,N0950,0.0127,ring
N0950,N0951,0.0024,ring
N0951,N0952,0.0061,ring
N0952,N0953,0.0098,ring
N0953,N0954,0.0135,ring
N0954,N0955,0.0032,ring
N0955,N0956,0.0069,ring
N0956,N0957,0.0106,ring
N0957,N0958,0.0003,ring
N0958,N0959,0.0040,ring
N0959,N0960,0.0077,ring
N0960,N0961,0.0114,ring
N0961,N0962,0.0011,ring
N0962,N0963,0.0048,ring
N0963,N0964,0.0085,ring
N0964,N0965,0.0122,ring
N0965,N0966,0.0019,ring
N0966,N0967,0.0056,ring
N0967,N0968,0.0093,ring
N0968,N0969,0.0130,ring
N0969,N0970,0.0027,ring
N0970,N0971,0.0064,ring
N0971,N0972,0.0101,ring
N0972,N0973,0.0138,ring
N0973,N0974,0.0035,ring
N0974,N0975,0.0072,ring
N0975,N0976,0.0109,ring
N0976,N0977,0.0006,ring
N0977,N0978,0.0043,ring
N0978,N0979,0.0080,ring
N0979,N0980,0.0117,ring
N0980,N0981,0.0014,ring
N0981,N0982,0.0051,ring
N0982,N0983,0.0088,ring
N0983,N0984,0.0125,ring
N0984,N0985,0.0022,ring
N0985,N0986,0.0059,ring
N0986,N0987,0.0096,ring
N0987,N0988,0.0133,ring
N0988,N0989,0.0030,ring
N0989,N0990,0.0067,ring
N0990,N0991,0.0104,ring
N0991,N0992,0.0001,ring
N0992,N0993,0.0038,ring
N0993,N0994,0.0075,ring
N0994,N0995,0.0112,ring
N0995,N0996,0.0009,ring
N0996,N0997,0.0046,ring
N0997,N0998,0.0083,ring
N0998,N0999,0.0120,ring
N0999,N1000,0.0017,ring
N1000,N0001,0.0054,ring
N0001,N0008,0.0129,short_chord
N0002,N0009,0.0026,short_chord
N0003,N0010,0.0063,short_chord
N0004,N0011,0.0100,short_chord
N0005,N0012,0.0137,short_chord
N0006,N0013,0.0034,short_chord
N0007,N0014,0.0071,short_chord
N0008,N0015,0.0108,short_chord
N0009,N0016,0.0005,short_chord
N0010,N0017,0.0042,short_chord
N0011,N0018,0.0079,short_chord
N0012,N0019,0.0116,short_chord
N0013,N0020,0.0013,short_chord
N0014,N0021,0.0050,short_chord
N0015,N0022,0.0087,short_chord
N0016,N0023,0.0124,short_chord
N0017,N0024,0.0021,short_chord
N0018,N0025,0.0058,short_chord
N0019,N0026,0.0095,short_chord
N0020,N0027,0.0132,short_chord
N0021,N0028,0.0029,short_chord
N0022,N0029,0.0066,short_chord
N0023,N0030,0.0103,short_chord
N0024,N0031,0.0140,short_chord
N0025,N0032,0.0037,short_chord
N0026,N0033,0.0074,short_chord
N0027,N0034,0.0111,short_chord
N0028,N0035,0.0008,short_chord
N0029,N0036,0.0045,short_chord
N0030,N0037,0.0082,short_chord
N0031,N0038,0.0119,short_chord
N0032,N0039,0.0016,short_chord
N0033,N0040,0.0053,short_chord
N0034,N0041,0.0090,short_chord
N0035,N0042,0.0127,short_chord
N0036,N0043,0.0024,short_chord
N0037,N0044,0.0061,short_chord
N0038,N0045,0.0098,short_chord
N0039,N0046,0.0135,short_chord
N0040,N0047,0.0032,short_chord
N0041,N0048,0.0069,short_chord
N0042,N0049,0.0106,short_chord
N0043,N0050,0.0003,short_chord
N0044,N0051,0.0040,short_chord
N0045,N0052,0.0077,short_chord
N0046,N0053,0.0114,short_chord
N0047,N0054,0.0011,short_chord
N0048,N0055,0.0048,short_chord
N0049,N0056,0.0085,short_chord
N0050,N0057,0.0122,short_chord
N0051,N0058,0.0019,short_chord
N0052,N0059,0.0056,short_chord
N0053,N0060,0.0093,short_chord
N0054,N0061,0.0130,short_chord
N0055,N0062,0.0027,short_chord
N0056,N0063,0.0064,short_chord
N0057,N0064,0.0101,short_chord
N0058,N0065,0.0138,short_chord
N0059,N0066,0.0035,short_chord
N0060,N0067,0.0072,short_chord
N0061,N0068,0.0109,short_chord
N0062,N0069,0.0006,short_chord
N0063,N0070,0.0043,short_chord
N0064,N0071,0.0080,short_chord
N0065,N0072,0.0117,short_chord
N0066,N0073,0.0014,short_chord
N0067,N0074,0.0051,short_chord
N0068,N0075,0.0088,short_chord
N0069,N0076,0.0125,short_chord
N0070,N0077,0.0022,short_chord
N0071,N0078,0.0059,short_chord
N0072,N0079,0.0096,short_chord
N0073,N0080,0.0133,short_chord
N0074,N0081,0.0030,short_chord
N0075,N0082,0.0067,short_chord
N0076,N0083,0.0104,short_chord
N0077,N0084,0.0001,short_chord
N0078,N0085,0.0038,short_chord
N0079,N0086,0.0075,short_chord
N0080,N0087,0.0112,short_chord
N0081,N0088,0.0009,short_chord
N0082,N0089,0.0046,short_chord
N0083,N0090,0.0083,short_chord
N0084,N0091,0.0120,short_chord
N0085,N0092,0.0017,short_chord
N0086,N0093,0.0054,short_chord
N0087,N0094,0.0091,short_chord
N0088,N0095,0.0128,short_chord
N0089,N0096,0.0025,short_chord
N0090,N0097,0.0062,short_chord
N0091,N0098,0.0099,short_chord
N0092,N0099,0.0136,short_chord
N0093,N0100,0.0033,short_chord
N0094,N0101,0.0070,short_chord
N0095,N0102,0.0107,short_chord
N0096,N0103,0.0004,short_chord
N0097,N0104,0.0041,short_chord
N0098,N0105,0.0078,short_chord
N0099,N0106,0.0115,short_chord
N0100,N0107,0.0012,short_chord
N0101,N0108,0.0049,short_chord
N0102,N0109,0.0086,short_chord
N0103,N0110,0.0123,short_chord
N0104,N0111,0.0020,short_chord
N0105,N0112,0.0057,short_chord
N0106,N0113,0.0094,short_chord
N0107,N0114,0.0131,short_chord
N0108,N0115,0.0028,short_chord
N0109,N0116,0.0065,short_chord
N0110,N0117,0.0102,short_chord
N0111,N0118,0.0139,short_chord
N0112,N0119,0.0036,short_chord
N0113,N0120,0.0073,short_chord
N0114,N0121,0.0110,short_chord
N0115,N0122,0.0007,short_chord
N0116,N0123,0.0044,short_chord
N0117,N0124,0.0081,short_chord
N0118,N0125,0.0118,short_chord
N0119,N0126,0.0015,short_chord
N0120,N0127,0.0052,short_chord
N0121,N0128,0.0089,short_chord
N0122,N0129,0.0126,short_chord
N0123,N0130,0.0023,short_chord
N0124,N0131,0.0060,short_chord
N0125,N0132,0.0097,short_chord
N0126,N0133,0.0134,short_chord
N0127,N0134,0.0031,short_chord
N0128,N0135,0.0068,short_chord
N0129,N0136,0.0105,short_chord
N0130,N0137,0.0002,short_chord
N0131,N0138,0.0039,short_chord
N0132,N0139,0.0076,short_chord
N0133,N0140,0.0113,short_chord
N0134,N0141,0.0010,short_chord
N0135,N0142,0.0047,short_chord
N0136,N0143,0.0084,short_chord
N0137,N0144,0.0121,short_chord
N0138,N0145,0.0018,short_chord
N0139,N0146,0.0055,short_chord
N0140,N0147,0.0092,short_chord
N0141,N0148,0.0129,short_chord
N0142,N0149,0.0026,short_chord
N0143,N0150,0.0063,short_chord
N0144,N0151,0.0100,short_chord
N0145,N0152,0.0137,short_chord
N0146,N0153,0.0034,short_chord
N0147,N0154,0.0071,short_chord
N0148,N0155,0.0108,short_chord
N0149,N0156,0.0005,short_chord
N0150,N0157,0.0042,short_chord
N0151,N0158,0.0079,short_chord
N0152,N0159,0.0116,short_chord
N0153,N0160,0.0013,short_chord
N0154,N0161,0.0050,short_chord
N0155,N0162,0.0087,short_chord
N0156,N0163,0.0124,short_chord
N0157,N0164,0.0021,short_chord
N0158,N0165,0.0058,short_chord
N0159,N0166,0.0095,short_chord
N0160,N0167,0.0132,short_chord
N0161,N0168,0.0029,short_chord
N0162,N0169,0.0066,short_chord
N0163,N0170,0.0103,short_chord
N0164,N0171,0.0140,short_chord
N0165,N0172,0.0037,short_chord
N0166,N0173,0.0074,short_chord
N0167,N0174,0.0111,short_chord
N0168,N0175,0.0008,short_chord
N0169,N0176,0.0045,short_chord
N0170,N0177,0.0082,short_chord
N0171,N0178,0.0119,short_chord
N0172,N0179,0.0016,short_chord
N0173,N0180,0.0053,short_chord
N0174,N0181,0.0090,short_chord
N0175,N0182,0.0127,short_chord
N0176,N0183,0.0024,short_chord
N0177,N0184,0.0061,short_chord
N0178,N0185,0.0098,short_chord
N0179,N0186,0.0135,short_chord
N0180,N0187,0.0032,short_chord
N0181,N0188,0.0069,short_chord
N0182,N0189,0.0106,short_chord
N0183,N0190,0.0003,short_chord
N0184,N0191,0.0040,short_chord
N0185,N0192,0.0077,short_chord
N0186,N0193,0.0114,short_chord
N0187,N0194,0.0011,short_chord
N0188,N0195,0.0048,short_chord
N0189,N0196,0.0085,short_chord
N0190,N0197,0.0122,short_chord
N0191,N0198,0.0019,short_chord
N0192,N0199,0.0056,short_chord
N0193,N0200,0.0093,short_chord
N0194,N0201,0.0130,short_chord
N0195,N0202,0.0027,short_chord
N0196,N0203,0.0064,short_chord
N0197,N0204,0.0101,short_chord
N0198,N0205,0.0138,short_chord
N0199,N0206,0.0035,short_chord
N0200,N0207,0.0072,short_chord
N0201,N0208,0.0109,short_chord
N0202,N0209,0.0006,short_chord
N0203,N0210,0.0043,short_chord
N0204,N0211,0.0080,short_chord
N0205,N0212,0.0117,short_chord
N0206,N0213,0.0014,short_chord
N0207,N0214,0.0051,short_chord
N0208,N0215,0.0088,short_chord
N0209,N0216,0.0125,short_chord
N0210,N0217,0.0022,short_chord
N0211,N0218,0.0059,short_chord
N0212,N0219,0.0096,short_chord
N0213,N0220,0.0133,short_chord
N0214,N0221,0.0030,short_chord
N0215,N0222,0.0067,short_chord
N0216,N0223,0.0104,short_chord
N0217,N0224,0.0001,short_chord
N0218,N0225,0.0038,short_chord
N0219,N0226,0.0075,short_chord
N0220,N0227,0.0112,short_chord
N0221,N0228,0.0009,short_chord
N0222,N0229,0.0046,short_chord
N0223,N0230,0.0083,short_chord
N0224,N0231,0.0120,short_chord
N0225,N0232,0.0017,short_chord
N0226,N0233,0.0054,short_chord
N0227,N0234,0.0091,short_chord
N0228,N0235,0.0128,short_chord
N0229,N0236,0.0025,short_chord
N0230,N0237,0.0062,short_chord
N0231,N0238,0.0099,short_chord
N0232,N0239,0.0136,short_chord
N0233,N0240,0.0033,short_chord
N0234,N0241,0.0070,short_chord
N0235,N0242,0.0107,short_chord
N0236,N0243,0.0004,short_chord
N0237,N0244,0.0041,short_chord
N0238,N0245,0.0078,short_chord
N0239,N0246,0.0115,short_chord
N0240,N0247,0.0012,short_chord
N0241,N0248,0.0049,short_chord
N0242,N0249,0.0086,short_chord
N0243,N0250,0.0123,short_chord
N0244,N0251,0.0020,short_chord
N0245,N0252,0.0057,short_chord
N0246,N0253,0.0094,short_chord
N0247,N0254,0.0131,short_chord
N0248,N0255,0.0028,short_chord
N0249,N0256,0.0065,short_chord
N0250,N0257,0.0102,short_chord
N0251,N0258,0.0139,short_chord
N0252,N0259,0.0036,short_chord
N0253,N0260,0.0073,short_chord
N0254,N0261,0.0110,short_chord
N0255,N0262,0.0007,short_chord
N0256,N0263,0.0044,short_chord
N0257,N0264,0.0081,short_chord
N0258,N0265,0.0118,short_chord
N0259,N0266,0.0015,short_chord
N0260,N0267,0.0052,short_chord
N0261,N0268,0.0089,short_chord
N0262,N0269,0.0126,short_chord
N0263,N0270,0.0023,short_chord
N0264,N0271,0.0060,short_chord
N0265,N0272,0.0097,short_chord
N0266,N0273,0.0134,short_chord
N0267,N0274,0.0031,short_chord
N0268,N0275,0.0068,short_chord
N0269,N0276,0.0105,short_chord
N0270,N0277,0.0002,short_chord
N0271,N0278,0.0039,short_chord
N0272,N0279,0.0076,short_chord
N0273,N0280,0.0113,short_chord
N0274,N0281,0.0010,short_chord
N0275,N0282,0.0047,short_chord
N0276,N0283,0.0084,short_chord
N0277,N0284,0.0121,short_chord
N0278,N0285,0.0018,short_chord
N0279,N0286,0.0055,short_chord
N0280,N0287,0.0092,short_chord
N0281,N0288,0.0129,short_chord
N0282,N0289,0.0026,short_chord
N0283,N0290,0.0063,short_chord
N0284,N0291,0.0100,short_chord
N0285,N0292,0.0137,short_chord
N0286,N0293,0.0034,short_chord
N0287,N0294,0.0071,short_chord
N0288,N0295,0.0108,short_chord
N0289,N0296,0.0005,short_chord
N0290,N0297,0.0042,short_chord
N0291,N0298,0.0079,short_chord
N0292,N0299,0.0116,short_chord
N0293,N0300,0.0013,short_chord
N0294,N0301,0.0050,short_chord
N0295,N0302,0.0087,short_chord
N0296,N0303,0.0124,short_chord
N0297,N0304,0.0021,short_chord
N0298,N0305,0.0058,short_chord
N0299,N0306,0.0095,short_chord
N0300,N0307,0.0132,short_chord
N0301,N0308,0.0029,short_chord
N0302,N0309,0.0066,short_chord
N0303,N0310,0.0103,short_chord
N0304,N0311,0.0140,short_chord
N0305,N0312,0.0037,short_chord
N0306,N0313,0.0074,short_chord
N0307,N0314,0.0111,short_chord
N0308,N0315,0.0008,short_chord
N0309,N0316,0.0045,short_chord
N0310,N0317,0.0082,short_chord
N0311,N0318,0.0119,short_chord
N0312,N0319,0.0016,short_chord
N0313,N0320,0.0053,short_chord
N0314,N0321,0.0090,short_chord
N0315,N0322,0.0127,short_chord
N0316,N0323,0.0024,short_chord
N0317,N0324,0.0061,short_chord
N0318,N0325,0.0098,short_chord
N0319,N0326,0.0135,short_chord
N0320,N0327,0.0032,short_chord
N0321,N0328,0.0069,short_chord
N0322,N0329,0.0106,short_chord
N0323,N0330,0.0003,short_chord
N0324,N0331,0.0040,short_chord
N0325,N0332,0.0077,short_chord
N0326,N0333,0.0114,short_chord
N0327,N0334,0.0011,short_chord
N0328,N0335,0.0048,short_chord
N0329,N0336,0.0085,short_chord
N0330,N0337,0.0122,short_chord
N0331,N0338,0.0019,short_chord
N0332,N0339,0.0056,short_chord
N0333,N0340,0.0093,short_chord
N0334,N0341,0.0130,short_chord
N0335,N0342,0.0027,short_chord
N0336,N0343,0.0064,short_chord
N0337,N0344,0.0101,short_chord
N0338,N0345,0.0138,short_chord
N0339,N0346,0.0035,short_chord
N0340,N0347,0.0072,short_chord
N0341,N0348,0.0109,short_chord
N0342,N0349,0.0006,short_chord
N0343,N0350,0.0043,short_chord
N0344,N0351,0.0080,short_chord
N0345,N0352,0.0117,short_chord
N0346,N0353,0.0014,short_chord
N0347,N0354,0.0051,short_chord
N0348,N0355,0.0088,short_chord
N0349,N0356,0.0125,short_chord
N0350,N0357,0.0022,short_chord
N0351,N0358,0.0059,short_chord
N0352,N0359,0.0096,short_chord
N0353,N0360,0.0133,short_chord
N0354,N0361,0.0030,short_chord
N0355,N0362,0.0067,short_chord
N0356,N0363,0.0104,short_chord
N0357,N0364,0.0001,short_chord
N0358,N0365,0.0038,short_chord
N0359,N0366,0.0075,short_chord
N0360,N0367,0.0112,short_chord
N0361,N0368,0.0009,short_chord
N0362,N0369,0.0046,short_chord
N0363,N0370,0.0083,short_chord
N0364,N0371,0.0120,short_chord
N0365,N0372,0.0017,short_chord
N0366,N0373,0.0054,short_chord
N0367,N0374,0.0091,short_chord
N0368,N0375,0.0128,short_chord
N0369,N0376,0.0025,short_chord
N0370,N0377,0.0062,short_chord
N0371,N0378,0.0099,short_chord
N0372,N0379,0.0136,short_chord
N0373,N0380,0.0033,short_chord
N0374,N0381,0.0070,short_chord
N0375,N0382,0.0107,short_chord
N0376,N0383,0.0004,short_chord
N0377,N0384,0.0041,short_chord
N0378,N0385,0.0078,short_chord
N0379,N0386,0.0115,short_chord
N0380,N0387,0.0012,short_chord
N0381,N0388,0.0049,short_chord
N0382,N0389,0.0086,short_chord
N0383,N0390,0.0123,short_chord
N0384,N0391,0.0020,short_chord
N0385,N0392,0.0057,short_chord
N0386,N0393,0.0094,short_chord
N0387,N0394,0.0131,short_chord
N0388,N0395,0.0028,short_chord
N0389,N0396,0.0065,short_chord
N0390,N0397,0.0102,short_chord
N0391,N0398,0.0139,short_chord
N0392,N0399,0.0036,short_chord
N0393,N0400,0.0073,short_chord
N0394,N0401,0.0110,short_chord
N0395,N0402,0.0007,short_chord
N0396,N0403,0.0044,short_chord
N0397,N0404,0.0081,short_chord
N0398,N0405,0.0118,short_chord
N0399,N0406,0.0015,short_chord
N0400,N0407,0.0052,short_chord
N0401,N0408,0.0089,short_chord
N0402,N0409,0.0126,short_chord
N0403,N0410,0.0023,short_chord
N0404,N0411,0.0060,short_chord
N0405,N0412,0.0097,short_chord
N0406,N0413,0.0134,short_chord
N0407,N0414,0.0031,short_chord
N0408,N0415,0.0068,short_chord
N0409,N0416,0.0105,short_chord
N0410,N0417,0.0002,short_chord
N0411,N0418,0.0039,short_chord
N0412,N0419,0.0076,short_chord
N0413,N0420,0.0113,short_chord
N0414,N0421,0.0010,short_chord
N0415,N0422,0.0047,short_chord
N0416,N0423,0.0084,short_chord
N0417,N0424,0.0121,short_chord
N0418,N0425,0.0018,short_chord
N0419,N0426,0.0055,short_chord
N0420,N0427,0.0092,short_chord
N0421,N0428,0.0129,short_chord
N0422,N0429,0.0026,short_chord
N0423,N0430,0.0063,short_chord
N0424,N0431,0.0100,short_chord
N0425,N0432,0.0137,short_chord
N0426,N0433,0.0034,short_chord
N0427,N0434,0.0071,short_chord
N0428,N0435,0.0108,short_chord
N0429,N0436,0.0005,short_chord
N0430,N0437,0.0042,short_chord
N0431,N0438,0.0079,short_chord
N0432,N0439,0.0116,short_chord
N0433,N0440,0.0013,short_chord
N0434,N0441,0.0050,short_chord
N0435,N0442,0.0087,short_chord
N0436,N0443,0.0124,short_chord
N0437,N0444,0.0021,short_chord
N0438,N0445,0.0058,short_chord
N0439,N0446,0.0095,short_chord
N0440,N0447,0.0132,short_chord
N0441,N0448,0.0029,short_chord
N0442,N0449,0.0066,short_chord
N0443,N0450,0.0103,short_chord
N0444,N0451,0.0140,short_chord
N0445,N0452,0.0037,short_chord
N0446,N0453,0.0074,short_chord
N0447,N0454,0.0111,short_chord
N0448,N0455,0.0008,short_chord
N0449,N0456,0.0045,short_chord
N0450,N0457,0.0082,short_chord
N0451,N0458,0.0119,short_chord
N0452,N0459,0.0016,short_chord
N0453,N0460,0.0053,short_chord
N0454,N0461,0.0090,short_chord
N0455,N0462,0.0127,short_chord
N0456,N0463,0.0024,short_chord
N0457,N0464,0.0061,short_chord
N0458,N0465,0.0098,short_chord
N0459,N0466,0.0135,short_chord
N0460,N0467,0.0032,short_chord
N0461,N0468,0.0069,short_chord
N0462,N0469,0.0106,short_chord
N0463,N0470,0.0003,short_chord
N0464,N0471,0.0040,short_chord
N0465,N0472,0.0077,short_chord
N0466,N0473,0.0114,short_chord
N0467,N0474,0.0011,short_chord
N0468,N0475,0.0048,short_chord
N0469,N0476,0.0085,short_chord
N0470,N0477,0.0122,short_chord
N0471,N0478,0.0019,short_chord
N0472,N0479,0.0056,short_chord
N0473,N0480,0.0093,short_chord
N0474,N0481,0.0130,short_chord
N0475,N0482,0.0027,short_chord
N0476,N0483,0.0064,short_chord
N0477,N0484,0.0101,short_chord
N0478,N0485,0.0138,short_chord
N0479,N0486,0.0035,short_chord
N0480,N0487,0.0072,short_chord
N0481,N0488,0.0109,short_chord
N0482,N0489,0.0006,short_chord
N0483,N0490,0.0043,short_chord
N0484,N0491,0.0080,short_chord
N0485,N0492,0.0117,short_chord
N0486,N0493,0.0014,short_chord
N0487,N0494,0.0051,short_chord
N0488,N0495,0.0088,short_chord
N0489,N0496,0.0125,short_chord
N0490,N0497,0.0022,short_chord
N0491,N0498,0.0059,short_chord
N0492,N0499,0.0096,short_chord
N0493,N0500,0.0133,short_chord
N0494,N0501,0.0030,short_chord
N0495,N0502,0.0067,short_chord
N0496,N0503,0.0104,short_chord
N0497,N0504,0.0001,short_chord
N0498,N0505,0.0038,short_chord
N0499,N0506,0.0075,short_chord
N0500,N0507,0.0112,short_chord
N0501,N0508,0.0009,short_chord
N0502,N0509,0.0046,short_chord
N0503,N0510,0.0083,short_chord
N0504,N0511,0.0120,short_chord
N0505,N0512,0.0017,short_chord
N0506,N0513,0.0054,short_chord
N0507,N0514,0.0091,short_chord
N0508,N0515,0.0128,short_chord
N0509,N0516,0.0025,short_chord
N0510,N0517,0.0062,short_chord
N0511,N0518,0.0099,short_chord
N0512,N0519,0.0136,short_chord
N0513,N0520,0.0033,short_chord
N0514,N0521,0.0070,short_chord
N0515,N0522,0.0107,short_chord
N0516,N0523,0.0004,short_chord
N0517,N0524,0.0041,short_chord
N0518,N0525,0.0078,short_chord
N0519,N0526,0.0115,short_chord
N0520,N0527,0.0012,short_chord
N0521,N0528,0.0049,short_chord
N0522,N0529,0.0086,short_chord
N0523,N0530,0.0123,short_chord
N0524,N0531,0.0020,short_chord
N0525,N0532,0.0057,short_chord
N0526,N0533,0.0094,short_chord
N0527,N0534,0.0131,short_chord
N0528,N0535,0.0028,short_chord
N0529,N0536,0.0065,short_chord
N0530,N0537,0.0102,short_chord
N0531,N0538,0.0139,short_chord
N0532,N0539,0.0036,short_chord
N0533,N0540,0.0073,short_chord
N0534,N0541,0.0110,short_chord
N0535,N0542,0.0007,short_chord
N0536,N0543,0.0044,short_chord
N0537,N0544,0.0081,short_chord
N0538,N0545,0.0118,short_chord
N0539,N0546,0.0015,short_chord
N0540,N0547,0.0052,short_chord
N0541,N0548,0.0089,short_chord
N0542,N0549,0.0126,short_chord
N0543,N0550,0.0023,short_chord
N0544,N0551,0.0060,short_chord
N0545,N0552,0.0097,short_chord
N0546,N0553,0.0134,short_chord
N0547,N0554,0.0031,short_chord
N0548,N0555,0.0068,short_chord
N0549,N0556,0.0105,short_chord
N0550,N0557,0.0002,short_chord
N0551,N0558,0.0039,short_chord
N0552,N0559,0.0076,short_chord
N0553,N0560,0.0113,short_chord
N0554,N0561,0.0010,short_chord
N0555,N0562,0.0047,short_chord
N0556,N0563,0.0084,short_chord
N0557,N0564,0.0121,short_chord
N0558,N0565,0.0018,short_chord
N0559,N0566,0.0055,short_chord
N0560,N0567,0.0092,short_chord
N0561,N0568,0.0129,short_chord
N0562,N0569,0.0026,short_chord
N0563,N0570,0.0063,short_chord
N0564,N0571,0.0100,short_chord
N0565,N0572,0.0137,short_chord
N0566,N0573,0.0034,short_chord
N0567,N0574,0.0071,short_chord
N0568,N0575,0.0108,short_chord
N0569,N0576,0.0005,short_chord
N0570,N0577,0.0042,short_chord
N0571,N0578,0.0079,short_chord
N0572,N0579,0.0116,short_chord
N0573,N0580,0.0013,short_chord
N0574,N0581,0.0050,short_chord
N0575,N0582,0.0087,short_chord
N0576,N0583,0.0124,short_chord
N0577,N0584,0.0021,short_chord
N0578,N0585,0.0058,short_chord
N0579,N0586,0.0095,short_chord
N0580,N0587,0.0132,short_chord
N0581,N0588,0.0029,short_chord
N0582,N0589,0.0066,short_chord
N0583,N0590,0.0103,short_chord
N0584,N0591,0.0140,short_chord
N0585,N0592,0.0037,short_chord
N0586,N0593,0.0074,short_chord
N0587,N0594,0.0111,short_chord
N0588,N0595,0.0008,short_chord
N0589,N0596,0.0045,short_chord
N0590,N0597,0.0082,short_chord
N0591,N0598,0.0119,short_chord
N0592,N0599,0.0016,short_chord
N0593,N0600,0.0053,short_chord
N0594,N0601,0.0090,short_chord
N0595,N0602,0.0127,short_chord
N0596,N0603,0.0024,short_chord
N0597,N0604,0.0061,short_chord
N0598,N0605,0.0098,short_chord
N0599,N0606,0.0135,short_chord
N0600,N0607,0.0032,short_chord
N0601,N0608,0.0069,short_chord
N0602,N0609,0.0106,short_chord
N0603,N0610,0.0003,short_chord
N0604,N0611,0.0040,short_chord
N0605,N0612,0.0077,short_chord
N0606,N0613,0.0114,short_chord
N0607,N0614,0.0011,short_chord
N0608,N0615,0.0048,short_chord
N0609,N0616,0.0085,short_chord
N0610,N0617,0.0122,short_chord
N0611,N0618,0.0019,short_chord
N0612,N0619,0.0056,short_chord
N0613,N0620,0.0093,short_chord
N0614,N0621,0.0130,short_chord
N0615,N0622,0.0027,short_chord
N0616,N0623,0.0064,short_chord
N0617,N0624,0.0101,short_chord
N0618,N0625,0.0138,short_chord
N0619,N0626,0.0035,short_chord
N0620,N0627,0.0072,short_chord
N0621,N0628,0.0109,short_chord
N0622,N0629,0.0006,short_chord
N0623,N0630,0.0043,short_chord
N0624,N0631,0.0080,short_chord
N0625,N0632,0.0117,short_chord
N0626,N0633,0.0014,short_chord
N0627,N0634,0.0051,short_chord
N0628,N0635,0.0088,short_chord
N0629,N0636,0.0125,short_chord
N0630,N0637,0.0022,short_chord
N0631,N0638,0.0059,short_chord
N0632,N0639,0.0096,short_chord
N0633,N0640,0.0133,short_chord
N0634,N0641,0.0030,short_chord
N0635,N0642,0.0067,short_chord
N0636,N0643,0.0104,short_chord
N0637,N0644,0.0001,short_chord
N0638,N0645,0.0038,short_chord
N0639,N0646,0.0075,short_chord
N0640,N0647,0.0112,short_chord
N0641,N0648,0.0009,short_chord
N0642,N0649,0.0046,short_chord
N0643,N0650,0.0083,short_chord
N0644,N0651,0.0120,short_chord
N0645,N0652,0.0017,short_chord
N0646,N0653,0.0054,short_chord
N0647,N0654,0.0091,short_chord
N0648,N0655,0.0128,short_chord
N0649,N0656,0.0025,short_chord
N0650,N0657,0.0062,short_chord
N0651,N0658,0.0099,short_chord
N0652,N0659,0.0136,short_chord
N0653,N0660,0.0033,short_chord
N0654,N0661,0.0070,short_chord
N0655,N0662,0.0107,short_chord
N0656,N0663,0.0004,short_chord
N0657,N0664,0.0041,short_chord
N0658,N0665,0.0078,short_chord
N0659,N0666,0.0115,short_chord
N0660,N0667,0.0012,short_chord
N0661,N0668,0.0049,short_chord
N0662,N0669,0.0086,short_chord
N0663,N0670,0.0123,short_chord
N0664,N0671,0.0020,short_chord
